product_name,sku,brand,category,code,model,color,department,department_original,description_eng,errors,feed_name,gtin,images,made_in,materials,season,year
SHEARLING GILET,3942094,DESA,WAISTCOATS,K14248 CARAMEL,,BEIGE,female,DONNA,SHEARLING GILET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],TURKEY,,FW24,2024
TROUSERS,3950294,MYTHS,TROUSERS,24WM42L 103 34,,,male,UOMO,TROUSERS,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],ITALY,,FW24,2024
LEATHER GILET,3942104,DESA,WAISTCOATS,K14262 BLACK,,NERO,female,DONNA,LEATHER GILET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],TURKEY,,FW24,2024
SILK SHIRT,3941534,PIERRE-LOUIS MASCIA,SHIRTS,513242 101,,,female,DONNA,SILK SHIRT,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW24,2024
ROUNDNECK SWEATER,3941094,BRUNO MANETTI,JUMPERS,B134 404,,,female,DONNA,ROUNDNECK SWEATER,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW24,2024
SHEARLING JACKET,3941964,DESA,JACKETS & PADDED OUTERWEAR,K14238 BLACK,,NERO,male,UOMO,SHEARLING JACKET,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}]",loschi,[],[],TURKEY,,FW24,2024
Unknown,3959904,SALVATORE SANTORO,,45052 ARMY,,,female,DONNA,,"[{""error"": ""missing_field"", ""field"": ""name""}, {""error"": ""missing_field"", ""field"": ""description_eng""}, {""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""missing_field"", ""field"": ""model""}, {""error"": ""missing_field"", ""field"": ""color""}, {""error"": ""missing_field"", ""field"": ""materials_original""}, {""error"": ""missing_field"", ""field"": ""category""}, {""error"": ""missing_field"", ""field"": ""collection""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",loschi,[],[],,,FW24,2024
Suede Flats Positano,111187,CB Made in Italy,Flats,111187,111187,Black,female,Woman,"The Slipper � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. Wear them with any outfits, from denim to tailored pants, miniskirts or dresses.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Suede Flats Positano,222298,CB Made in Italy,Flats,222298,222298,Brown,female,Woman,"The Slipper � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. Wear them with any outfits, from denim to tailored pants, miniskirts or dresses.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Dark Boucl� Fabric Flats Ravello,555488,CB Made in Italy,Flats,555488,555488,Melange,female,Woman,"The Mule � CB Made in Italy's most versatile shoe design, you can wear your Ravello from summer to winter, indoor or outdoor, completing a casual outfit or fancy evening attire, wear it with pants or dresses, city to holidays, always in-style.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Fabric,,
Suede Flats Ravello,444416,CB Made in Italy,Flats,444416,444416,Black,female,Woman,"The Mule � CB Made in Italy's most versatile shoe design, you can wear your Ravello from summer to winter, indoor or outdoor, completing a casual outfit or fancy evening attire, wear it with pants or dresses, city to holidays, always in-style.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Leather Flats Todi,122192,CB Made in Italy,Flats,122192,122192,Black,female,Woman,"The Moccasin � Tassels, handmade stitches and laced-up details are the signature elements. Designed to seamlessly match elegance and ultimate comfort revealing outstanding artisanal construction.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Pastel Lurex Flats Ravello,999776,CB Made in Italy,Flats,999776,999776,Melange,female,Woman,"The Mule � CB Made in Italy's most versatile shoe design, you can wear your Ravello from summer to winter, indoor or outdoor, completing a casual outfit or fancy evening attire, wear it with pants or dresses, city to holidays, always in-style.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Lurex,,
Fringed Raffia Flats Ravello,666560,CB Made in Italy,Flats,666560,666560,Black,female,Woman,"The Mule � CB Made in Italy's most versatile shoe design, you can wear your Ravello from summer to winter, indoor or outdoor, completing a casual outfit or fancy evening attire, wear it with pants or dresses, city to holidays, always in-style.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Raffia,,
Fringed Fabric Flats Ravello,777632,CB Made in Italy,Flats,777632,777632,Multicolor,female,Woman,"The Mule � CB Made in Italy's most versatile shoe design, you can wear your Ravello from summer to winter, indoor or outdoor, completing a casual outfit or fancy evening attire, wear it with pants or dresses, city to holidays, always in-style.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Fabric,,
Leather Flats Todi,133299,CB Made in Italy,Flats,133299,133299,Brown,female,Woman,"The Moccasin � Tassels, handmade stitches and laced-up details are the signature elements. Designed to seamlessly match elegance and ultimate comfort revealing outstanding artisanal construction.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Slip-on Positano,222156,CB Made in Italy,Slip-on,222156,222156,Black,male,Man,"The Slip-on � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. These iconic flats will elevate your city outfits, from suits to denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Dark Suede Slip-on Positano,233264,CB Made in Italy,Slip-on,233264,233264,Brown,male,Man,"The Slip-on � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. These iconic flats will elevate your city outfits, from suits to denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Leather Boots Sessanta,144406,CB Made in Italy,Boots,144406,144406,Black,female,Woman,"The Chelsea boot � a must-have in every self-respecting closet. Timeless ankle boot combining elegance and comfort. A versatile choice fitting city looks as-well as weekend and countryside escapade, to be worn indifferently with trousers, dresses or skirts.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Slip-on Positano,211049,CB Made in Italy,Slip-on,211049,211049,Tobacco,male,Man,"The Slip-on � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. These iconic flats will elevate your city outfits, from suits to denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Tumbled Leather Boots Sirio,188835,CB Made in Italy,Boots,188835,188835,Black,female,Woman,"The extreme winter laced up ankle boot, inspired by timeless mountain attire, versatile comfortable, technical and trendy. Matching and lifting up any outfit.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Tumbled Leather,,
Suede Boots Eva,177728,CB Made in Italy,Boots,177728,177728,Brown,female,Woman,"The Laced-up ankle boot � CB Made in Italy's bestsellers. Timeless, versatile and effortlessly chic. Pair it with tailoring, denim, skinny, miniskirt or floaty dresses.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Dark Tumbled Leather Boots Sirio,199942,CB Made in Italy,Boots,199942,199942,Brown,female,Woman,"The extreme winter laced up ankle boot, inspired by timeless mountain attire, versatile comfortable, technical and trendy. Matching and lifting up any outfit.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Tumbled Leather,,
Leather Boots Eva,166620,CB Made in Italy,Boots,166620,166620,Black,female,Woman,"The Laced-up ankle boot � CB Made in Italy's bestsellers. Timeless, versatile and effortlessly chic. Pair it with tailoring, denim, skinny, miniskirt or floaty dresses.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Slip-on Fornillo,277692,CB Made in Italy,Slip-on,277692,277692,Brown,male,Man,"The extra soft Slip-on � unlined and extra comfortable, a glow for your feet. Designed to bring evergreen elegance to your wardrobe. They look great with both office attires and easy-chic off-duty looks.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Leather Slip-on Amalfi,255478,CB Made in Italy,Slip-on,255478,255478,Black,male,Man,"The fancy Espadrille � elevates your summer outfits, effortlessly chic the Amalfi shoes brings holiday vibes in to the urban jungle, wear them with denim, bermuda or a summer suit.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Dark Leather Slip-on Nerano,164351,CB Made in Italy,Slip-on,164351,164351,Brown,male,Man,"The tasseled Loafers � a must-have in every city wardrobe. Designed to guarantee both sophisticated elegance and long-lasting comfort, these loafers will make you stand out at work but also at the most refined parties.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Slip-on Dove,288800,CB Made in Italy,Slip-on,288800,288800,Chocolate,male,Man,"The Loafer � the modern update is given by the stitched plait detail, the Dove adds an extra dash of dapper to your off-duty or more elegant outfits.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Cotton Canvas Slip-on Positano,244371,CB Made in Italy,Slip-on,244371,244371,Blue,male,Man,"The Slip-on � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. These iconic flats will elevate your city outfits, from suits to denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Cotton Canvas,,
Dark Leather Slip-on Amalfi,266585,CB Made in Italy,Slip-on,266585,266585,Brown,male,Man,"The fancy Espadrille � elevates your summer outfits, effortlessly chic the Amalfi shoes brings holiday vibes in to the urban jungle, wear them with denim, bermuda or a summer suit.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Boots Sessanta,142466,CB Made in Italy,Boots,142466,142466,Tobacco,male,Man,"The Chelsea boot � a must-have in every self-respecting closet. Timeless ankle boot combining elegance and comfort. a versatile choice fitting city looks as-well as weekend and countryside escapade, wear yours with corduroy pants or denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Dark Suede Boots Vento,153408,CB Made in Italy,Boots,153408,153408,Brown,male,Man,The Chukka Boot � no gent's collection of shoes is complete without at least one pair. Vento is CB Made In Italy's interpretation of the iconic shoe style. They can be worn with both suits and more casual wear like denim.,"[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Dark Suede Boots Eva,109639,CB Made in Italy,Boots,109639,109639,Brown,male,Man,"The Laced-up ankle boot � CB Made in Italy's bestsellers. Timeless, versatile and effortlessly chic. Pair it with tailoring or denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Leather Flats Croce,877541,CB Made in Italy,Flats,877541,877541,Burgundy,female,Woman,"Crossed adjustable straps with buckles, burgundy leather. Soft pointed toe, leather inner sole and lining, leather outer sole with half rubber for extra comfort, 2 cm heel.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Dark Tumbled Leather Boots Eva,120581,CB Made in Italy,Boots,120581,120581,Brown,male,Man,"The Laced-up ankle boot � CB Made in Italy's bestsellers. Timeless, versatile and effortlessly chic. Pair it with tailoring or denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Suede Boots Sessanta,155513,CB Made in Italy,Boots,155513,155513,Brown,female,Woman,"The Chelsea boot � a must-have in every self-respecting closet. Timeless ankle boot combining elegance and comfort. A versatile choice fitting city looks as-well as weekend and countryside escapade, to be worn indifferently with trousers, dresses or skirts.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Suede Flats Croce,986971,CB Made in Italy,Flats,986971,986971,Purple,female,Woman,"Crossed adjustable straps with buckles, purple suede. Soft pointed toe, leather inner sole and lining, leather outer sole with half rubber for extra comfort, 2 cm heel.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Suede Flats Positano,333331,CB Made in Italy,Flats,333331,333331,Tobacco,female,Woman,"The Slipper � CB Made in Italy's most iconic shoe design. Blending elegance and functionality, timeless and seasonless. Wear them with any outfits, from denim to tailored pants, miniskirts or dresses.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Suede,,
Leather Slip-on Nerano,175293,CB Made in Italy,Slip-on,175293,175293,Black,male,Man,"The tasseled Loafers � a must-have in every city wardrobe. Designed to guarantee both sophisticated elegance and long-lasting comfort, these loafers will make you stand out at work but also at the most refined parties.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
Leather Boots Sessanta,131524,CB Made in Italy,Boots,131524,131524,Black,male,Man,"The Chelsea boot � a must-have in every self-respecting closet. Timeless ankle boot combining elegance and comfort. a versatile choice fitting city looks as-well as weekend and countryside escapade, wear yours with corduroy pants or denim.","[{""error"": ""empty_field"", ""field"": ""images""}, {""error"": ""empty_field"", ""field"": ""season""}, {""error"": ""missing_field"", ""field"": ""year""}, {""error"": ""missing_field"", ""field"": ""unit_system_name_original""}, {""error"": ""empty_field"", ""field"": ""additional_info""}, {""error"": ""empty_field"", ""field"": ""gtin""}, {""error"": ""missing_field"", ""field"": ""dimensions""}, {""error"": ""missing_field"", ""field"": ""made_in""}]",cb_made_in_italy,[],[],,Leather,,
